source_id,source_type,source_url,date,company_seed,raw_text,raw_mention,entity_label,start_char,end_char,normalized_name,base_name,legal_suffixes,canonical_group_id,canonical_name,merge_confidence,merge_decision,evidence_note
1,SEC,https://example.com/sec1,2023-01,Pfizer,Pfizer acquired Seagen in 2023.,Seagen,ORG,16,22,SEAGEN,SEAGEN,,42,Seagen,1.0,singleton,singleton_no_merge_needed
3,USPTO,https://example.com/uspto1,2022-06,Regeneron,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Sanofi,ORG,14,20,SANOFI,SANOFI,,21,Sanofi,1.0,singleton,singleton_no_merge_needed
4,PUBMED,https://example.com/pubmed1,2021-11,CSL Behring,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring,ORG,0,11,CSL BEHRING,CSL BEHRING,,11,CSL Behring,0.88,auto_merge,auto_merge_component
5,SEC,https://example.com/sec3,2024-12,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb,ORG,0,20,BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB,,9,Bristol-Myers Squibb,1.0,singleton,singleton_no_merge_needed
5,SEC,https://example.com/sec3,2024-12,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Karuna Therapeutics,ORG,31,50,KARUNA THERAPEUTICS,KARUNA THERAPEUTICS,,40,Karuna Therapeutics,1.0,singleton,singleton_no_merge_needed
7,SEC,https://example.com/sec4,2023-08,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca,ORG,0,11,ASTRAZENECA,ASTRAZENECA,,37,AstraZeneca,1.0,singleton,singleton_no_merge_needed
7,SEC,https://example.com/sec4,2023-08,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,Daiichi Sankyo,ORG,27,41,DAIICHI SANKYO,DAIICHI SANKYO,,31,Daiichi Sankyo,1.0,singleton,singleton_no_merge_needed
8,PUBMED,https://example.com/pubmed2,2022-03,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis,ORG,0,8,NOVARTIS,NOVARTIS,,39,Novartis,1.0,singleton,singleton_no_merge_needed
8,PUBMED,https://example.com/pubmed2,2022-03,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,RNA,ORG,32,35,RNA,RNA,,13,RNA,1.0,singleton,singleton_no_merge_needed
9,SEC,https://example.com/sec5,2024-03,10X Genomics,10X GENOMICS INC acquired a small diagnostics startup.,GENOMICS INC,ORG,4,16,GENOMICS INC,GENOMICS,INC,44,GENOMICS INC,1.0,singleton,singleton_no_merge_needed
11,SEC,https://example.com/sec7,2024-05,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,GENOMICS SWEDEN AB,ORG,4,22,GENOMICS SWEDEN AB,GENOMICS SWEDEN,AB,24,Genomics Sweden AB,1.0,singleton,singleton_no_merge_needed
11,SEC,https://example.com/sec7,2024-05,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,NanoString,ORG,56,66,NANOSTRING,NANOSTRING,,26,NanoString,1.0,singleton,singleton_no_merge_needed
12,PUBMED,https://example.com/pubmed3,2022-09,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH,ORG,0,16,CSL BEHRING GMBH,CSL BEHRING,GMBH,16,CSL Behring GmbH,0.55,review_needed,same_base_name_but_suffix_differs
12,PUBMED,https://example.com/pubmed3,2022-09,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring Inc.,ORG,54,70,CSL BEHRING INC,CSL BEHRING,INC,11,CSL Behring,0.88,auto_merge,auto_merge_component
13,SEC,https://example.com/sec8,2023-02,Pfizer,"Pfizer Inc. acquired Seagen, according to the filing.",Pfizer Inc.,ORG,0,11,PFIZER INC,PFIZER,INC,25,Pfizer Inc.,1.0,singleton,singleton_no_merge_needed
15,USPTO,https://example.com/uspto3,2021-07,Regeneron,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.","Regeneron Pharmaceuticals, Inc.",ORG,0,31,REGENERON PHARMACEUTICALS INC,REGENERON PHARMACEUTICALS,INC,14,"Regeneron Pharmaceuticals, Inc.",0.88,auto_merge,auto_merge_component
17,SEC,https://example.com/sec10,2023-10,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ","Moderna, Inc.",ORG,0,13,MODERNA INC,MODERNA,INC,1,"Moderna, Inc.",1.0,singleton,singleton_no_merge_needed
17,SEC,https://example.com/sec10,2023-10,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ",Vertex Pharmaceuticals,ORG,52,74,VERTEX PHARMACEUTICALS,VERTEX PHARMACEUTICALS,,10,Vertex Pharmaceuticals,1.0,singleton,singleton_no_merge_needed
18,SEC,https://example.com/sec11,2024-01,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.","Gilead Sciences, Inc.",ORG,0,21,GILEAD SCIENCES INC,GILEAD SCIENCES,INC,43,"Gilead Sciences, Inc.",1.0,singleton,singleton_no_merge_needed
18,SEC,https://example.com/sec11,2024-01,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.",CymaBay Therapeutics,ORG,31,51,CYMABAY THERAPEUTICS,CYMABAY THERAPEUTICS,,3,CymaBay Therapeutics,1.0,singleton,singleton_no_merge_needed
19,USPTO,https://example.com/uspto4,2021-05,argenx,argenx SE co-filed a patent with Johnson & Johnson.,Johnson & Johnson,ORG,33,50,JOHNSON AND JOHNSON,JOHNSON AND JOHNSON,,7,Johnson & Johnson,1.0,singleton,singleton_no_merge_needed
20,PUBMED,https://example.com/pubmed5,2020-08,bluebird bio,bluebird bio partnered with Bristol-Myers Squibb in early studies.,Bristol-Myers Squibb,ORG,28,48,BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB,,9,Bristol-Myers Squibb,1.0,singleton,singleton_no_merge_needed
21,SEC,https://example.com/sec12,2022-04,Sarepta Therapeutics,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics,ORG,0,20,SAREPTA THERAPEUTICS,SAREPTA THERAPEUTICS,,27,Sarepta Therapeutics,1.0,singleton,singleton_no_merge_needed
21,SEC,https://example.com/sec12,2022-04,Sarepta Therapeutics,Sarepta Therapeutics merged with Example Rare Disease Co.,Example Rare Disease Co.,ORG,33,57,EXAMPLE RARE DISEASE CO,EXAMPLE RARE DISEASE,CO,6,Example Rare Disease Co.,1.0,singleton,singleton_no_merge_needed
22,PUBMED,https://example.com/pubmed6,2022-10,CRISPR Therapeutics,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics,ORG,0,19,CRISPR THERAPEUTICS,CRISPR THERAPEUTICS,,48,CRISPR Therapeutics,0.5,review_needed,high_string_similarity
22,PUBMED,https://example.com/pubmed6,2022-10,CRISPR Therapeutics,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,Vertex Pharmaceuticals,ORG,38,60,VERTEX PHARMACEUTICALS,VERTEX PHARMACEUTICALS,,10,Vertex Pharmaceuticals,1.0,singleton,singleton_no_merge_needed
33,SEC,https://example.com/sec13,2023-01,Pfizer,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,Seagen,ORG,16,22,SEAGEN,SEAGEN,,42,Seagen,1.0,singleton,singleton_no_merge_needed
34,SEC,https://example.com/sec14,2024-02,Merck,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",Merck,ORG,0,5,MERCK,MERCK,,23,Merck,1.0,singleton,singleton_no_merge_needed
34,SEC,https://example.com/sec14,2024-02,Merck,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",Merck,ORG,47,52,MERCK,MERCK,,23,Merck,1.0,singleton,singleton_no_merge_needed
37,SEC,https://example.com/sec15,2023-09,CSL Behring,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring,ORG,0,11,CSL BEHRING,CSL BEHRING,,11,CSL Behring,0.88,auto_merge,auto_merge_component
37,SEC,https://example.com/sec15,2023-09,CSL Behring,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring GmbH,ORG,16,32,CSL BEHRING GMBH,CSL BEHRING,GMBH,16,CSL Behring GmbH,0.55,review_needed,same_base_name_but_suffix_differs
38,SEC,https://example.com/sec16,2024-07,10X Genomics,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,Genomics Sweden AB,ORG,4,22,GENOMICS SWEDEN AB,GENOMICS SWEDEN,AB,24,Genomics Sweden AB,1.0,singleton,singleton_no_merge_needed
39,PUBMED,https://example.com/pubmed8,2022-01,Johnson & Johnson,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J,ORG,0,3,J AND J,J AND J,,4,J&J,1.0,singleton,singleton_no_merge_needed
39,PUBMED,https://example.com/pubmed8,2022-01,Johnson & Johnson,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,Johnson Innovative Medicine,ORG,28,55,JOHNSON INNOVATIVE MEDICINE,JOHNSON INNOVATIVE MEDICINE,,18,Johnson Innovative Medicine,1.0,singleton,singleton_no_merge_needed
40,USPTO,https://example.com/uspto6,2021-03,Regeneron,"Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.",Regeneron Pharmaceuticals,ORG,14,39,REGENERON PHARMACEUTICALS,REGENERON PHARMACEUTICALS,,14,"Regeneron Pharmaceuticals, Inc.",0.88,auto_merge,auto_merge_component
41,SEC,https://example.com/sec17,2023-10,Eli Lilly,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,Eli Lilly,ORG,0,9,ELI LILLY,ELI LILLY,,17,Eli Lilly,1.0,singleton,singleton_no_merge_needed
42,SEC,https://example.com/sec18,2024-01,Roche,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche,ORG,0,5,ROCHE,ROCHE,,47,Roche,1.0,singleton,singleton_no_merge_needed
42,SEC,https://example.com/sec18,2024-01,Roche,Roche entered into a collaboration with Recursion Pharmaceuticals.,Recursion Pharmaceuticals,ORG,40,65,RECURSION PHARMACEUTICALS,RECURSION PHARMACEUTICALS,,8,Recursion Pharmaceuticals,1.0,singleton,singleton_no_merge_needed
43,PUBMED,https://example.com/pubmed9,2021-04,Takeda,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,Arrowhead Pharmaceuticals,ORG,19,44,ARROWHEAD PHARMACEUTICALS,ARROWHEAD PHARMACEUTICALS,,41,Arrowhead Pharmaceuticals,1.0,singleton,singleton_no_merge_needed
44,USPTO,https://example.com/uspto7,2024-02,Amgen,Amgen co-filed a patent with Generate Biomedicines.,Amgen,ORG,0,5,AMGEN,AMGEN,,38,Amgen,1.0,singleton,singleton_no_merge_needed
45,SEC,https://example.com/sec19,2023-11,Biogen,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen,ORG,0,6,BIOGEN,BIOGEN,,45,Biogen,1.0,singleton,singleton_no_merge_needed
45,SEC,https://example.com/sec19,2023-11,Biogen,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Stoke Therapeutics,ORG,49,67,STOKE THERAPEUTICS,STOKE THERAPEUTICS,,12,Stoke Therapeutics,1.0,singleton,singleton_no_merge_needed
46,PUBMED,https://example.com/pubmed10,2022-05,GSK,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK,ORG,0,3,GSK,GSK,,35,GSK,1.0,singleton,singleton_no_merge_needed
46,PUBMED,https://example.com/pubmed10,2022-05,GSK,GSK partnered with CureVac on next-generation mRNA vaccines.,CureVac,ORG,19,26,CUREVAC,CUREVAC,,20,CureVac,1.0,singleton,singleton_no_merge_needed
47,SEC,https://example.com/sec20,2024-06,Johnson & Johnson,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson,ORG,0,17,JOHNSON AND JOHNSON,JOHNSON AND JOHNSON,,7,Johnson & Johnson,1.0,singleton,singleton_no_merge_needed
47,SEC,https://example.com/sec20,2024-06,Johnson & Johnson,Johnson & Johnson acquired Shockwave Medical.,Shockwave Medical,ORG,27,44,SHOCKWAVE MEDICAL,SHOCKWAVE MEDICAL,,36,Shockwave Medical,1.0,singleton,singleton_no_merge_needed
48,USPTO,https://example.com/uspto8,2023-12,Novo Nordisk,Novo Nordisk filed patent with Valo Health on computational drug discovery.,Valo Health,ORG,31,42,VALO HEALTH,VALO HEALTH,,29,Valo Health,1.0,singleton,singleton_no_merge_needed
49,SEC,,2023-13,Acme Bio,Acme Bio collaborated with Beta Pharma.,Acme Bio,ORG,0,8,ACME BIO,ACME BIO,,28,Acme Bio,1.0,singleton,singleton_no_merge_needed
51,SEC,https://example.com/sec21,2023-09,Pfizer,BioNTech entered into a collaboration with Genentech.,Genentech,ORG,43,52,GENENTECH,GENENTECH,,19,Genentech,1.0,singleton,singleton_no_merge_needed
54,PUBMED,https://example.com/pubmed12,2021-02,Seagen,Seagen/Genmab collaboration was discussed in the review article.,Seagen/Genmab,ORG,0,13,SEAGEN GENMAB,SEAGEN GENMAB,,46,Seagen/Genmab,1.0,singleton,singleton_no_merge_needed
55,USPTO,https://example.com/uspto9,2024-03,Merck,"Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.",Merck & Co.,ORG,0,11,MERCK AND CO,MERCK AND,CO,5,Merck & Co.,1.0,singleton,singleton_no_merge_needed
56,SEC,https://example.com/sec23,2024-04,Pfizer,   Pfizer   licensed technology   from   Beam Therapeutics   ,Beam Therapeutics,ORG,32,49,BEAM THERAPEUTICS,BEAM THERAPEUTICS,,15,Beam Therapeutics,1.0,singleton,singleton_no_merge_needed
57,PUBMED,https://example.com/pubmed13,2022-06,Pfizer,FDA collaborated with Pfizer on regulatory science workshops.,FDA,ORG,0,3,FDA,FDA,,22,FDA,1.0,singleton,singleton_no_merge_needed
58,SEC,https://example.com/sec24,2020-09,Spark Therapeutics,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania,ORG,0,26,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA,,2,University of Pennsylvania,1.0,singleton,singleton_no_merge_needed
58,SEC,https://example.com/sec24,2020-09,Spark Therapeutics,University of Pennsylvania licensed technology to Spark Therapeutics.,Spark Therapeutics,ORG,50,68,SPARK THERAPEUTICS,SPARK THERAPEUTICS,,30,Spark Therapeutics,0.5,review_needed,high_string_similarity
59,SEC,not_a_url,2024-05,Alnylam,Alnylam acquired Example RNA Startup.,Alnylam,ORG,0,7,ALNYLAM,ALNYLAM,,32,Alnylam,1.0,singleton,singleton_no_merge_needed
59,SEC,not_a_url,2024-05,Alnylam,Alnylam acquired Example RNA Startup.,Example RNA Startup,ORG,17,36,EXAMPLE RNA STARTUP,EXAMPLE RNA STARTUP,,33,Example RNA Startup,1.0,singleton,singleton_no_merge_needed
60,PUBMED,https://example.com/pubmed14,,Example Biotech,Example Biotech worked with Example Diagnostics.,Example Diagnostics,ORG,28,47,EXAMPLE DIAGNOSTICS,EXAMPLE DIAGNOSTICS,,34,Example Diagnostics,1.0,singleton,singleton_no_merge_needed
