source_id,source_type,source_type_cleaned,source_url,source_url_cleaned,date,date_cleaned,company_seed,company_seed_cleaned,raw_text,raw_text_cleaned,raw_mention,entity_label,start_char,end_char
1,SEC,SEC,https://example.com/sec1,https://example.com/sec1,2023-01,2023-01,Pfizer,Pfizer,Pfizer acquired Seagen in 2023.,Pfizer acquired Seagen in 2023.,Seagen,ORG,16,22
3,USPTO,USPTO,https://example.com/uspto1,https://example.com/uspto1,2022-06,2022-06,Regeneron,Regeneron,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Sanofi,ORG,14,20
4,PUBMED,PUBMED,https://example.com/pubmed1,https://example.com/pubmed1,2021-11,2021-11,CSL Behring,CSL Behring,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring,ORG,0,11
5,SEC,SEC,https://example.com/sec3,https://example.com/sec3,2024-12,2024-12,Bristol Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb,ORG,0,20
5,SEC,SEC,https://example.com/sec3,https://example.com/sec3,2024-12,2024-12,Bristol Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Karuna Therapeutics,ORG,31,50
7,SEC,SEC,https://example.com/sec4,https://example.com/sec4,2023-08,2023-08,AstraZeneca,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca,ORG,0,11
7,SEC,SEC,https://example.com/sec4,https://example.com/sec4,2023-08,2023-08,AstraZeneca,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,Daiichi Sankyo,ORG,27,41
8,PUBMED,PUBMED,https://example.com/pubmed2,https://example.com/pubmed2,2022-03,2022-03,Novartis,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis,ORG,0,8
8,PUBMED,PUBMED,https://example.com/pubmed2,https://example.com/pubmed2,2022-03,2022-03,Novartis,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis worked with Alnylam on RNA interference delivery systems.,RNA,ORG,32,35
9,SEC,SEC,https://example.com/sec5,https://example.com/sec5,2024-03,2024-03,10X Genomics,10X Genomics,10X GENOMICS INC acquired a small diagnostics startup.,10X GENOMICS INC acquired a small diagnostics startup.,GENOMICS INC,ORG,4,16
11,SEC,SEC,https://example.com/sec7,https://example.com/sec7,2024-05,2024-05,10X Genomics,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,GENOMICS SWEDEN AB,ORG,4,22
11,SEC,SEC,https://example.com/sec7,https://example.com/sec7,2024-05,2024-05,10X Genomics,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,NanoString,ORG,56,66
12,PUBMED,PUBMED,https://example.com/pubmed3,https://example.com/pubmed3,2022-09,2022-09,CSL Behring,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH,ORG,0,16
12,PUBMED,PUBMED,https://example.com/pubmed3,https://example.com/pubmed3,2022-09,2022-09,CSL Behring,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring Inc.,ORG,54,70
13,SEC,SEC,https://example.com/sec8,https://example.com/sec8,2023-02,2023-02,Pfizer,Pfizer,"Pfizer Inc. acquired Seagen, according to the filing.","Pfizer Inc. acquired Seagen, according to the filing.",Pfizer Inc.,ORG,0,11
15,USPTO,USPTO,https://example.com/uspto3,https://example.com/uspto3,2021-07,2021-07,Regeneron,Regeneron,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.","Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.","Regeneron Pharmaceuticals, Inc.",ORG,0,31
17,SEC,SEC,https://example.com/sec10,https://example.com/sec10,2023-10,2023-10,Moderna,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ","Moderna, Inc. entered into a license agreement with Vertex Pharmaceuticals.","Moderna, Inc.",ORG,0,13
17,SEC,SEC,https://example.com/sec10,https://example.com/sec10,2023-10,2023-10,Moderna,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ","Moderna, Inc. entered into a license agreement with Vertex Pharmaceuticals.",Vertex Pharmaceuticals,ORG,52,74
18,SEC,SEC,https://example.com/sec11,https://example.com/sec11,2024-01,2024-01,Gilead Sciences,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.","Gilead Sciences, Inc. acquired CymaBay Therapeutics.","Gilead Sciences, Inc.",ORG,0,21
18,SEC,SEC,https://example.com/sec11,https://example.com/sec11,2024-01,2024-01,Gilead Sciences,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.","Gilead Sciences, Inc. acquired CymaBay Therapeutics.",CymaBay Therapeutics,ORG,31,51
19,USPTO,USPTO,https://example.com/uspto4,https://example.com/uspto4,2021-05,2021-05,argenx,argenx,argenx SE co-filed a patent with Johnson & Johnson.,argenx SE co-filed a patent with Johnson & Johnson.,Johnson & Johnson,ORG,33,50
20,PUBMED,PUBMED,https://example.com/pubmed5,https://example.com/pubmed5,2020-08,2020-08,bluebird bio,bluebird bio,bluebird bio partnered with Bristol-Myers Squibb in early studies.,bluebird bio partnered with Bristol-Myers Squibb in early studies.,Bristol-Myers Squibb,ORG,28,48
21,SEC,SEC,https://example.com/sec12,https://example.com/sec12,2022-04,2022-04,Sarepta Therapeutics,Sarepta Therapeutics,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics,ORG,0,20
21,SEC,SEC,https://example.com/sec12,https://example.com/sec12,2022-04,2022-04,Sarepta Therapeutics,Sarepta Therapeutics,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics merged with Example Rare Disease Co.,Example Rare Disease Co.,ORG,33,57
22,PUBMED,PUBMED,https://example.com/pubmed6,https://example.com/pubmed6,2022-10,2022-10,CRISPR Therapeutics,CRISPR Therapeutics,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics,ORG,0,19
22,PUBMED,PUBMED,https://example.com/pubmed6,https://example.com/pubmed6,2022-10,2022-10,CRISPR Therapeutics,CRISPR Therapeutics,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,Vertex Pharmaceuticals,ORG,38,60
33,SEC,SEC,https://example.com/sec13,https://example.com/sec13,2023-01,2023-01,Pfizer,Pfizer,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,Seagen,ORG,16,22
34,SEC,SEC,https://example.com/sec14,https://example.com/sec14,2024-02,2024-02,Merck,Merck,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.","Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",Merck,ORG,0,5
34,SEC,SEC,https://example.com/sec14,https://example.com/sec14,2024-02,2024-02,Merck,Merck,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.","Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",Merck,ORG,47,52
37,SEC,SEC,https://example.com/sec15,https://example.com/sec15,2023-09,2023-09,CSL Behring,CSL Behring,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring,ORG,0,11
37,SEC,SEC,https://example.com/sec15,https://example.com/sec15,2023-09,2023-09,CSL Behring,CSL Behring,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring GmbH,ORG,16,32
38,SEC,SEC,https://example.com/sec16,https://example.com/sec16,2024-07,2024-07,10X Genomics,10X Genomics,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,Genomics Sweden AB,ORG,4,22
39,PUBMED,PUBMED,https://example.com/pubmed8,https://example.com/pubmed8,2022-01,2022-01,Johnson & Johnson,Johnson & Johnson,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J,ORG,0,3
39,PUBMED,PUBMED,https://example.com/pubmed8,https://example.com/pubmed8,2022-01,2022-01,Johnson & Johnson,Johnson & Johnson,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,Johnson Innovative Medicine,ORG,28,55
40,USPTO,USPTO,https://example.com/uspto6,https://example.com/uspto6,2021-03,2021-03,Regeneron,Regeneron,"Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.","Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.",Regeneron Pharmaceuticals,ORG,14,39
41,SEC,SEC,https://example.com/sec17,https://example.com/sec17,2023-10,2023-10,Eli Lilly,Eli Lilly,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,Eli Lilly,ORG,0,9
42,SEC,SEC,https://example.com/sec18,https://example.com/sec18,2024-01,2024-01,Roche,Roche,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche,ORG,0,5
42,SEC,SEC,https://example.com/sec18,https://example.com/sec18,2024-01,2024-01,Roche,Roche,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche entered into a collaboration with Recursion Pharmaceuticals.,Recursion Pharmaceuticals,ORG,40,65
43,PUBMED,PUBMED,https://example.com/pubmed9,https://example.com/pubmed9,2021-04,2021-04,Takeda,Takeda,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,Arrowhead Pharmaceuticals,ORG,19,44
44,USPTO,USPTO,https://example.com/uspto7,https://example.com/uspto7,2024-02,2024-02,Amgen,Amgen,Amgen co-filed a patent with Generate Biomedicines.,Amgen co-filed a patent with Generate Biomedicines.,Amgen,ORG,0,5
45,SEC,SEC,https://example.com/sec19,https://example.com/sec19,2023-11,2023-11,Biogen,Biogen,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen,ORG,0,6
45,SEC,SEC,https://example.com/sec19,https://example.com/sec19,2023-11,2023-11,Biogen,Biogen,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Stoke Therapeutics,ORG,49,67
46,PUBMED,PUBMED,https://example.com/pubmed10,https://example.com/pubmed10,2022-05,2022-05,GSK,GSK,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK,ORG,0,3
46,PUBMED,PUBMED,https://example.com/pubmed10,https://example.com/pubmed10,2022-05,2022-05,GSK,GSK,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK partnered with CureVac on next-generation mRNA vaccines.,CureVac,ORG,19,26
47,SEC,SEC,https://example.com/sec20,https://example.com/sec20,2024-06,2024-06,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson,ORG,0,17
47,SEC,SEC,https://example.com/sec20,https://example.com/sec20,2024-06,2024-06,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson acquired Shockwave Medical.,Shockwave Medical,ORG,27,44
48,USPTO,USPTO,https://example.com/uspto8,https://example.com/uspto8,2023-12,2023-12,Novo Nordisk,Novo Nordisk,Novo Nordisk filed patent with Valo Health on computational drug discovery.,Novo Nordisk filed patent with Valo Health on computational drug discovery.,Valo Health,ORG,31,42
49,SEC,SEC,,,2023-13,2023-13,Acme Bio,Acme Bio,Acme Bio collaborated with Beta Pharma.,Acme Bio collaborated with Beta Pharma.,Acme Bio,ORG,0,8
51,SEC,SEC,https://example.com/sec21,https://example.com/sec21,2023-09,2023-09,Pfizer,Pfizer,BioNTech entered into a collaboration with Genentech.,BioNTech entered into a collaboration with Genentech.,Genentech,ORG,43,52
54,PUBMED,PUBMED,https://example.com/pubmed12,https://example.com/pubmed12,2021-02,2021-02,Seagen,Seagen,Seagen/Genmab collaboration was discussed in the review article.,Seagen/Genmab collaboration was discussed in the review article.,Seagen/Genmab,ORG,0,13
55,USPTO,USPTO,https://example.com/uspto9,https://example.com/uspto9,2024-03,2024-03,Merck,Merck,"Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.","Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.",Merck & Co.,ORG,0,11
56,SEC,SEC,https://example.com/sec23,https://example.com/sec23,2024-04,2024-04,Pfizer,Pfizer,   Pfizer   licensed technology   from   Beam Therapeutics   ,Pfizer licensed technology from Beam Therapeutics,Beam Therapeutics,ORG,32,49
57,PUBMED,PUBMED,https://example.com/pubmed13,https://example.com/pubmed13,2022-06,2022-06,Pfizer,Pfizer,FDA collaborated with Pfizer on regulatory science workshops.,FDA collaborated with Pfizer on regulatory science workshops.,FDA,ORG,0,3
58,SEC,SEC,https://example.com/sec24,https://example.com/sec24,2020-09,2020-09,Spark Therapeutics,Spark Therapeutics,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania,ORG,0,26
58,SEC,SEC,https://example.com/sec24,https://example.com/sec24,2020-09,2020-09,Spark Therapeutics,Spark Therapeutics,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania licensed technology to Spark Therapeutics.,Spark Therapeutics,ORG,50,68
59,SEC,SEC,not_a_url,not_a_url,2024-05,2024-05,Alnylam,Alnylam,Alnylam acquired Example RNA Startup.,Alnylam acquired Example RNA Startup.,Alnylam,ORG,0,7
59,SEC,SEC,not_a_url,not_a_url,2024-05,2024-05,Alnylam,Alnylam,Alnylam acquired Example RNA Startup.,Alnylam acquired Example RNA Startup.,Example RNA Startup,ORG,17,36
60,PUBMED,PUBMED,https://example.com/pubmed14,https://example.com/pubmed14,,,Example Biotech,Example Biotech,Example Biotech worked with Example Diagnostics.,Example Biotech worked with Example Diagnostics.,Example Diagnostics,ORG,28,47
